MATRICULA;COD_SETOR;COD_CARGO;NIVEL_CARGO;COD STATUS;DATA_INGRESSO;DATA FIM;SALARIO_BASE;ADICIONAIS;ISE 2020;AV DESEMPENHO 2020
8441485699;1;1;1;1;19/12/2011;;9679,66;1098,5;10;7
7461814199;3;22;1;1;24/04/2017;;7155,54;796;7;8
7681071599;3;22;2;1;09/02/2011;;11800,12;698,71;5;7
7662802399;3;22;2;1;23/01/2019;;11800,12;778,54;4;6
7741184799;3;22;2;1;24/01/2017;;6451,5;458;6;6
7222225099;3;22;3;1;18/03/2014;;3251,44;828,75;10;7
7220625899;3;22;2;1;14/10/2015;;7803,45;1291,31;9;7
7520668099;3;22;2;1;19/09/2016;;11800,12;458;5;7
8132275899;3;22;2;1;02/01/2019;;2935,17;550;6;3
8151443699;3;22;2;1;21/01/2013;;11800,12;1210,73;3;4
8321650899;3;20;2;1;05/12/2011;;8966,61;1092,85;6;5
8152148199;3;22;1;1;09/06/2021;;9616,18;1100;6;3
8280634699;3;22;1;1;05/06/2019;;11800,12;991,29;4;7
7582455999;3;22;1;1;04/09/2017;;11800,12;574,38;6;4
7351253699;1;2;1;1;09/05/2014;;4157,95;458;9;8
7971040899;3;22;2;1;11/10/2019;;9616,18;991,29;6;7
7892715799;1;2;1;1;16/04/2014;;4157,95;746,09;8;8
8141603599;1;2;2;1;14/10/2004;;5034,51;1274,74;6;6
7392124999;1;2;2;1;26/07/2013;;4320,12;936,38;6;2
7291752599;1;1;3;2;15/03/2010;25/01/2021;12386,5;0;7;5
8040945099;3;22;2;1;13/01/2009;;8232,64;458;7;8
8132692799;1;2;2;1;29/06/2005;;7041,54;580,02;6;2
7472450499;3;22;2;1;07/03/2018;;11800,12;575,42;8;5
7831007999;3;22;1;1;13/07/2016;;11800,12;1100;10;8
7271912999;5;33;2;1;22/07/2019;;3434,01;1142,46;6;3
7311027399;1;1;2;2;13/05/2013;15/05/2018;6130;0;;
7951024399;3;22;2;1;20/11/2015;;11800,12;458;4;9
7462507699;5;33;2;1;27/01/2016;;3703,52;598,35;9;9
8202108599;1;4;1;1;13/08/2013;;7380,95;1100;9;9
8192676399;3;22;1;5;02/02/2017;28/12/2020;11800,12;1333,53;;
7691997299;3;22;2;1;17/01/2018;;11800,12;830,81;9;9
8151030399;3;22;1;1;21/03/2019;;7044,42;458;6;5
7492832199;3;20;3;1;04/12/2001;;10676,72;682,11;9;7
8262641399;1;1;2;2;23/02/2015;26/07/2020;8940,6;0;;
8351114999;3;22;2;1;21/09/2015;;7044,42;1316,16;5;4
7921512899;3;22;2;1;01/07/2015;;11800,12;779;6;4
8382803099;4;25;1;1;26/12/2008;;9679,66;1217,78;8;7
8151579299;3;22;2;1;20/05/2016;;12348,96;458;8;8
8102799999;4;25;1;1;28/12/2009;;7967,9;866,64;5;5
7282395399;1;2;2;1;03/04/2009;;4845,54;860,86;6;4
7481908999;1;1;2;1;10/05/2004;;7967,9;779;8;7
8591729399;3;22;1;1;14/05/2014;;11800,12;1097,08;6;3
7930526599;1;2;1;1;30/12/2008;;5665,55;918,02;7;4
7852749799;4;25;2;1;29/08/2014;;8306,11;563,79;6;3
8251254599;3;22;1;1;31/05/2013;;7803,45;779;8;7
8062765299;1;1;1;1;21/08/2020;;5434,85;458;6;3
7912196499;3;22;3;1;21/07/2014;;11800,12;568,73;5;7
7980658299;3;22;3;1;21/12/2011;;8232,64;458;7;6
8432328299;1;2;1;1;17/02/2012;;3970,68;598,35;10;8
7512232499;3;22;2;1;11/05/2017;;11800,12;670,29;6;3
10100010599;3;22;1;1;28/01/2021;;9616,18;458;4;3
8111725099;3;22;1;1;26/02/2016;;11800,12;779;7;4
8072014599;3;22;2;1;16/05/2019;;7044,42;569,43;7;8
7392103499;3;22;2;1;09/05/2016;;7155,54;458;9;9
8311316899;3;22;2;1;31/08/2016;;11800,12;575,42;6;7
8432520099;3;22;2;1;25/05/2015;;11800,12;579,14;9;8
7342609599;1;2;1;5;01/02/1984;30/12/2019;18408;650,34;;
8161771699;1;8;1;1;19/06/2019;;3434,01;458;4;8
7332127099;3;22;1;1;26/02/2018;;11800,12;458;6;4
8601405899;4;25;2;1;19/12/2012;;7380,95;458;6;5
8550676799;1;3;1;1;29/01/2010;;8966,61;779;9;6
8230986399;3;22;1;1;15/01/2019;;9616,18;458;6;6
7231680299;1;2;2;1;28/12/1983;;13641,6;716,23;9;8
7361009199;4;25;3;1;15/08/2014;;8306,11;563,79;6;6
8591885499;3;22;2;1;23/09/2015;;7803,45;1102,02;7;6
7400694399;3;22;2;1;22/10/2015;;7803,45;893,88;9;6
7221222799;3;22;2;1;17/03/2017;;11800,12;679,46;9;7
7561999899;1;2;2;1;01/12/1984;;12847,08;588,71;3;5
8361207099;3;22;2;1;15/06/2018;;11800,12;1203,58;7;6
8620993199;3;22;2;1;28/10/2016;;11800,12;458;6;6
8301585799;3;22;2;1;31/12/2009;;7803,45;458;6;6
7581849599;4;25;2;1;01/06/2011;;7380,95;458;4;8
7962483899;1;1;3;2;29/09/2004;21/01/2020;17945,81;0;;
8012315699;1;2;2;1;03/01/1983;;14616;579,14;2;4
7261028299;1;2;1;1;06/11/2013;;4320,12;894,48;7;4
7612213299;3;22;2;1;24/04/2014;;7803,45;701,61;7;5
8551012399;3;22;2;1;13/05/2019;;9616,18;575,42;8;5
8471829199;3;22;3;1;04/08/2014;;6242,76;458;3;6
7842043599;1;2;2;1;24/04/2014;;3407,24;1728,03;6;2
7421284199;1;2;1;2;03/01/2019;21/11/2020;13727,4;458;;
7860854199;3;20;3;1;30/10/2013;;8630,04;799,98;4;6
7502304799;3;22;1;1;23/03/2018;;11800,12;675,94;5;6
7921978599;1;2;1;1;11/09/2008;;5665,55;1141,21;9;8
7652788599;1;1;2;1;11/11/1985;;16826,4;582,33;6;7
7631514999;3;22;1;1;27/08/2019;;9616,18;579,14;3;7
7892682199;1;2;1;1;29/11/2012;;3998,03;910,68;6;5
11110007999;2;12;1;1;20/01/2021;;4180,66;458;2;3
8571768599;1;2;2;1;01/02/1984;;15656,2;579,14;7;6
7770924299;3;22;2;1;16/12/2015;;7803,45;568,73;10;9
8332631299;3;22;2;1;17/06/2016;;11800,12;458;9;8
8420986099;1;8;1;5;30/12/2009;17/02/2019;4516,21;0;;
7551350199;1;4;2;1;04/08/2015;;6837,25;588,71;5;4
7292254199;3;22;3;1;19/11/2013;;11800,12;458;6;5
7221175899;3;22;2;1;26/07/2016;;11800,12;458;8;9
7731945199;1;1;3;1;25/09/2008;;10057,17;893,71;5;5
8580956599;4;25;1;2;15/01/2013;21/07/2019;4818,59;0;;
7971804299;3;22;2;1;23/07/2018;;6189;587;9;9
7981006399;4;25;2;1;07/08/2014;;6333,6;574,38;6;2
8402305999;3;22;2;1;05/08/2010;;8232,64;1204,29;7;9
7832566099;3;22;1;1;29/06/2018;;16922,65625;1092,14;2;3
7301332199;2;12;3;1;27/03/2014;;8306,11;1204,29;5;4
7742523799;1;2;1;1;04/07/2013;;3703,52;521,23;9;8
7402031599;3;22;1;1;27/05/2020;;9616,18;458;6;3
7721246299;1;2;1;1;30/12/2009;;4663,65;580,02;6;2
8312624099;3;22;1;1;14/11/2013;;11800,12;779;3;3
8312308699;1;8;2;1;28/03/2018;;3430,71;1097,45;7;9
10480000499;3;22;1;1;22/12/2020;;9616,18;458;6;3
7392355599;3;22;1;1;24/01/2017;;11800,12;1224,83;7;4
11410010699;3;22;1;1;17/12/2020;;9616,18;669,58;4;3
8140762099;2;12;1;4;27/04/2010;02/11/2020;4320,12;0;;
8022523999;2;12;2;1;10/09/2019;;5867,05;757,35;6;6
7252681299;1;1;2;1;26/12/2016;;8306,11;563,79;6;6
8100926599;3;22;2;1;21/07/2020;;9616,18;458;6;3
7571594499;3;23;3;1;08/02/2010;;9562,96;1117,29;8;7
10490002799;3;22;1;1;01/12/2020;;9616,18;458;5;3
7691498699;3;22;1;1;27/06/2017;;12348,96;670,29;9;8
8281447099;3;22;2;4;20/07/1989;05/05/2020;6261,7;575,19;;
8522594599;3;22;3;1;28/03/2011;;11800,12;458;6;2
8052781999;3;22;2;1;21/12/2016;;11800,12;574,38;2;2
7510733299;3;22;2;1;01/06/1994;;12019,65;458;6;5
8050533499;3;22;2;1;09/10/2019;;9616,18;568,73;2;3
7440867399;1;1;2;1;28/07/2017;;6333,6;789,96;7;8
8411666199;1;2;1;1;07/11/2013;;4861,61;458;6;6
7351997699;3;22;1;1;20/05/2014;;11800,12;458;6;6
7540818499;3;22;1;1;11/12/2019;;9616,18;568,73;8;4
8151803799;3;22;1;1;20/07/2017;;11800,12;884,79;9;4
7522408299;3;22;1;1;07/07/2010;;7232,37;458;7;9
8232799699;3;22;2;1;13/02/2017;;11800,12;458;5;6
8052103999;1;1;1;1;23/12/2020;;6354,6;680,86;6;3
7431905999;3;22;1;1;13/01/2015;;7044,42;574,38;6;5
7251433299;3;22;1;1;26/01/2017;;12348,96;568,73;9;9
8092669499;3;22;2;1;24/07/2018;;11800,12;568,73;7;8
10280060999;3;22;1;1;09/06/2021;;9616,18;779;5;3
7421046899;3;22;2;1;13/08/2015;;11800,12;1988,32;6;6
7420535299;3;22;2;1;19/10/2020;;9616,18;458;6;3
8381029899;3;22;2;1;11/07/2012;;7803,45;1131,44;5;6
7241975999;3;22;2;1;30/05/2019;;9616,18;458;7;7
8422812699;3;20;1;1;30/06/2016;;8526;458;7;8
7441839699;3;22;2;1;26/02/2016;;11800,12;986,35;6;5
